 transaction_id , order_id , warehouse_id , transaction_type , transaction_date 
1,1,1, Inbound , 2023-08-30 
2,2,2, Outbound , 2023-08-31 
3,3,3, Inbound , 2023-09-01 
4,4,4, Outbound , 2023-09-02 
5,5,5, Inbound , 2023-09-03 
6,6,6, Outbound , 2023-09-04 
7,7,7, Inbound , 2023-09-05 
8,8,8, Outbound , 2023-09-06 
9,9,9, Inbound , 2023-09-07 
10,10,10, Outbound , 2023-09-08 
11,11,1, Inbound , 2023-09-09 
12,12,2, Outbound , 2023-09-10 
13,13,3, Inbound , 2023-09-11 
14,14,4, Outbound , 2023-09-12 
15,15,5, Inbound , 2023-09-13 
16,16,6, Outbound , 2023-09-14 
17,17,7, Inbound , 2023-09-15 
18,18,8, Outbound , 2023-09-16 
19,19,9, Inbound , 2023-09-17 
20,20,10, Outbound , 2023-09-18 
